trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,fees,gross_pnl,net_pnl,return_pct,exit_date,cumulative_pnl,equity,peak_equity,drawdown,drawdown_pct
AAPL-0285,AAPL,short,2015-07-14T00:00:00,2015-07-21T00:00:00,125.6100,130.7500,7.9611,0.5000,-40.9203,-41.4203,-0.0041,2015-07-21,-179.6928,9820.3072,10019.1703,-198.8631,-0.0198
AAPL-0290,AAPL,long,2015-07-21T00:00:00,2015-07-28T00:00:00,130.7500,123.3800,7.6482,0.5000,-56.3671,-56.8671,-0.0057,2015-07-28,-236.5599,9763.4401,10019.1703,-255.7302,-0.0255
AAPL-0295,AAPL,long,2015-07-28T00:00:00,2015-08-04T00:00:00,123.3800,114.6400,8.1050,0.5000,-70.8380,-71.3380,-0.0071,2015-08-04,-307.8979,9692.1021,10019.1703,-327.0682,-0.0326
AAPL-0300,AAPL,short,2015-08-04T00:00:00,2015-08-11T00:00:00,114.6400,113.4900,8.7230,0.5000,10.0314,9.5314,0.0010,2015-08-11,-298.3665,9701.6335,10019.1703,-317.5368,-0.0317
AAPL-0305,AAPL,short,2015-08-11T00:00:00,2015-08-18T00:00:00,113.4900,116.5000,8.8113,0.5000,-26.5222,-27.0222,-0.0027,2015-08-18,-325.3887,9674.6113,10019.1703,-344.5590,-0.0344
AAPL-0310,AAPL,short,2015-08-18T00:00:00,2015-08-25T00:00:00,116.5000,103.7400,8.5837,0.5000,109.5279,109.0279,0.0109,2015-08-25,-216.3608,9783.6392,10019.1703,-235.5311,-0.0235
AAPL-0315,AAPL,short,2015-08-25T00:00:00,2015-09-01T00:00:00,103.7400,107.7200,9.6395,0.5000,-38.3651,-38.8651,-0.0039,2015-09-01,-255.2259,9744.7741,10019.1703,-274.3962,-0.0274
AAPL-0320,AAPL,short,2015-09-01T00:00:00,2015-09-09T00:00:00,107.7200,110.1500,9.2833,0.5000,-22.5585,-23.0585,-0.0023,2015-09-09,-278.2844,9721.7156,10019.1703,-297.4547,-0.0297
AAPL-0325,AAPL,short,2015-09-09T00:00:00,2015-09-16T00:00:00,110.1500,116.4100,9.0785,0.5000,-56.8316,-57.3316,-0.0057,2015-09-16,-335.6160,9664.3840,10019.1703,-354.7863,-0.0354
AAPL-0330,AAPL,long,2015-09-16T00:00:00,2015-09-23T00:00:00,116.4100,114.3200,8.5903,0.5000,-17.9538,-18.4538,-0.0018,2015-09-23,-354.0698,9645.9302,10019.1703,-373.2401,-0.0373
